group,md5,kb,sources,action,source,path
81,092d202600,1583,ace+thsc,KEEP,thsc,Economics/Y12-Trial/Cranbrook 2001.pdf
81,092d202600,1583,ace+thsc,dup,ace,Economics/ACE-Trial/2001_Economics_-_Cranbrook_Trial_without_Solutions.pdf
82,814b7d04bd,1582,ace+thsc,KEEP,thsc,Maths Advanced/Y12-Trial/Caringbah 2009 w. sol.pdf
82,814b7d04bd,1582,ace+thsc,dup,ace,Maths Advanced/ACE-Trial/2009_2U_-_Caringbah_Trial_with_Solutions.pdf
83,500deaa27b,1576,ace+thsc,KEEP,thsc,Maths Extension 1/Y12-Trial/Hunters Hill 2016 w. sol.pdf
83,500deaa27b,1576,ace+thsc,dup,ace,Maths Extension 1/ACE-Trial/2016_3U_-_Hunters_Hill_Trial_with_solutions.pdf
84,567b484436,1571,ace+thsc,KEEP,thsc,Maths Advanced/Y12-Trial/Cranbrook 2010 w. sol.pdf
84,567b484436,1571,ace+thsc,dup,ace,Maths Advanced/ACE-Trial/2010 2U - Cranbrook Trial with Solutions.pdf
85,c28aef104e,1567,ace+thsc,KEEP,thsc,Agriculture/Y12-Trial/Hurlstone 2011 w. sol.pdf
85,c28aef104e,1567,ace+thsc,dup,ace,Agriculture/ACE-Trial/Hurlstone-2011-Agriculture-Trials-&-Solutions.pdf
86,4324c592c7,1563,ace+thsc,KEEP,thsc,Maths Standard 2/Y12-Trial/Barker 2019 w. sol.pdf
86,4324c592c7,1563,ace+thsc,dup,ace,Maths Standard 2/ACE-Trial/Barker-2019-Standard-Maths-Trials-&-Solutions.pdf
87,c6c773a2f4,1558,ace+thsc,KEEP,thsc,Maths Extension 2/Y12-Trial/Normanhurst Boys 2018 w. sol.pdf
87,c6c773a2f4,1558,ace+thsc,dup,ace,Maths Extension 2/ACE-Trial/2018-4U-Normanhurst-Boys-Trials-with-Solutions.pdf
88,8a0e252051,1545,ace+thsc,KEEP,thsc,Maths Advanced/Y12-Trial/Sydney Boys 2016 w. sol.pdf
88,8a0e252051,1545,ace+thsc,dup,ace,Maths Advanced/ACE-Trial/2016_2U_-_Sydney_Boys_trial_with_Solutions.pdf
89,d46b715ce9,1537,ace+thsc,KEEP,thsc,Legal Studies/Y11-Yearly/Cranbrook 2005.pdf
89,d46b715ce9,1537,ace+thsc,dup,ace,Legal Studies/ACE-Yearly/2005 P LS - Cranbrook - Prelim Yearly Exam Paper (no solutions).pdf
90,4da2accf99,1527,ace+thsc,KEEP,thsc,Legal Studies/Y11-Yearly/Cranbrook 2013.pdf
90,4da2accf99,1527,ace+thsc,dup,ace,Legal Studies/ACE-Yearly/2013 P LS - Cranbrook - Prelim Yearly Exam Paper (no solutions).pdf
91,793af8c796,1519,ace+thsc,KEEP,thsc,Economics/Y12-Trial/Pymble 2001.pdf
91,793af8c796,1519,ace+thsc,dup,ace,Economics/ACE-Trial/2001_Economics_-_Pymble_Trial_without_Solutions.pdf
92,32789ca2d2,1518,ace+thsc,KEEP,thsc,Maths Advanced/Y12-Trial/Manly 2018 w. sol.pdf
92,32789ca2d2,1518,ace+thsc,dup,ace,Maths Advanced/ACE-Trial/2018-2U-Manly-Trials-with-Solutions.pdf
93,829c8c7f8c,1504,ace+thsc,KEEP,thsc,Modern History/Y11-Yearly/Cranbrook 2010.pdf
93,829c8c7f8c,1504,ace+thsc,dup,ace,Modern History/ACE-Yearly/2010 P MH - Cranbrook - Prelim Yearly Exam Paper (no solutions).pdf
94,bf68ac9e1e,1503,ace+thsc,KEEP,thsc,Maths Extension 2/Y12-Trial/Penrith 2018 w. sol.pdf
94,bf68ac9e1e,1503,ace+thsc,dup,ace,Maths Extension 2/ACE-Trial/2018-4U-Penrith-Trials-with-Solutions.pdf
95,c7b07780e8,1501,ace+thsc,KEEP,thsc,Physics/Y12-Trial/Penrith 2007.pdf
95,c7b07780e8,1501,ace+thsc,dup,ace,Physics/ACE-Trial/2007_Physics_-_Penrith_Trial_without_Solutions.pdf
96,0daaec4a20,1496,ace+thsc,KEEP,thsc,Maths Standard 2/Y11-Yearly/Kings 2017 w. sol.pdf
96,0daaec4a20,1496,ace+thsc,dup,ace,Maths Standard 2/ACE-Yearly/2017 P MS - Kings - Prelim Yearly Exam Paper.pdf
97,bccf823fde,1495,ace+thsc,KEEP,thsc,Maths Extension 1/Y12-Trial/Manly 2018 w. sol.pdf
97,bccf823fde,1495,ace+thsc,dup,ace,Maths Extension 1/ACE-Trial/2018-3U-Manly-Trials-with-Solutions.pdf
98,146669472a,1494,ace+thsc,KEEP,thsc,Maths Extension 2/Y12-Trial/Caringbah 2018 w. sol.pdf
98,146669472a,1494,ace+thsc,dup,ace,Maths Extension 2/ACE-Trial/2018-4U-Caringbah-Trials-with-Solutions.pdf
99,68c8edf479,1477,ace+thsc,KEEP,thsc,Maths Extension 2/Y12-Trial/Baulkham Hills 2017 w. sol.pdf
99,68c8edf479,1477,ace+thsc,dup,ace,Maths Extension 2/ACE-Trial/2017-4U-Baulkham-Hills-Trials-with-Solutions.pdf
100,7708080d52,1476,ace+thsc,KEEP,thsc,Maths Extension 2/Y12-Trial/St George Girls 2018 w. sol.pdf
100,7708080d52,1476,ace+thsc,dup,ace,Maths Extension 2/ACE-Trial/2018-4U-St-George-Girls-Trials-with-Solutions.pdf
101,0b92f328ab,1465,ace,KEEP,ace,English Advanced/ACE-Notes/2020-ENG-Texts-Human-Experiences-Lesson-Lesson-1-HSC-Coworks.pdf
101,0b92f328ab,1465,ace,dup,ace,English Standard/ACE-Notes/2020-ENG-Texts-Human-Experiences-Lesson-Lesson-1-HSC-Coworks.pdf
102,15d7d8eef0,1464,ace+thsc,KEEP,thsc,Maths Extension 1/Y11-Yearly/Sydney Grammar 2019 w. sol.pdf
